id,product name,product price,currency,product url,site name,time stamp
4a031ae33bd0,Xbox Gift Cards,599.0,EGP,https://shamystores.com/collections/xbox-gift-cards,shamystores.com,2025-10-19T06:50:33.644514Z
0cbdf2e639c8,PS5 Games,3790.0,EGP,https://shamystores.com/collections/ps5-games,shamystores.com,2025-10-19T06:50:33.644514Z
ed62346679eb,PS5 Consoles,33990.0,EGP,https://shamystores.com/collections/ps5-consoles,shamystores.com,2025-10-19T06:50:33.644514Z
208a08440394,PS5 Used Games,1750.0,EGP,https://shamystores.com/collections/ps5-used-games,shamystores.com,2025-10-19T06:50:33.644514Z
1e9ac92380c7,PS5 Accesssories,4290.0,EGP,https://shamystores.com/collections/ps5-accesssories,shamystores.com,2025-10-19T06:50:33.644514Z
2d150bf345b3,Xbox Games,1140.0,EGP,https://shamystores.com/collections/xbox-games,shamystores.com,2025-10-19T06:50:33.644514Z
4412bbd7b3a5,Xbox Consoles,23990.0,EGP,https://shamystores.com/collections/xbox-one-consoles,shamystores.com,2025-10-19T06:50:33.644514Z
56659c78112b,Xbox Used Games,350.0,EGP,https://shamystores.com/collections/xbox-used-games,shamystores.com,2025-10-19T06:50:33.644514Z
0f47ce10f41c,XBOX One & Series Accessories,3990.0,EGP,https://shamystores.com/collections/xbox-one-series-accessories,shamystores.com,2025-10-19T06:50:33.644514Z
237184f72d52,PSN 10$ USA,599.0,EGP,https://shamystores.com/products/psn-10-usa-ep10usd,shamystores.com,2025-10-19T06:50:33.644514Z
dc1886868e76,PSN 25$ USA,1499.0,EGP,https://shamystores.com/products/psn-25-usa-ep25usd,shamystores.com,2025-10-19T06:50:33.644514Z
1bfcdf9f3c38,PSN 50$ USA,2949.0,EGP,https://shamystores.com/products/psn-50-usa-50050009058403,shamystores.com,2025-10-19T06:50:33.644514Z
322c30f79b0e,PSN 100$ USA,5555.0,EGP,https://shamystores.com/products/psn-100-usa-50050009058411,shamystores.com,2025-10-19T06:50:33.644514Z
e71f58f2d8b5,PSN 75$ USA,4141.0,EGP,https://shamystores.com/products/psn-75-usa-ep75usd,shamystores.com,2025-10-19T06:50:33.644514Z
